COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
77,4180,4184.1,4187.18,4184.1,4181.54,4184.62,4185.13,4182.56,4184.62,4191.79,4243.08,4946.67,4178.97,4189.23,2044,2038,88.521,0,0,0,0,
78,4192.82,4188.21,4181.54,4181.54,4175.9,4179.49,4178.97,4182.56,4188.21,4192.31,4242.56,4947.69,4191.79,4190.26,2045,2038,88.529,0,0,0,0,
79,4174.36,4173.85,4182.05,4186.15,4184.62,4182.56,4185.64,4182.05,4183.08,4187.18,4237.44,4947.18,4175.38,4183.59,2045,2039,88.537,0,0,0,0,
80,4189.23,4183.08,4186.67,4186.15,4180,4177.95,4175.38,4184.62,4185.64,4188.72,4242.56,4951.79,4189.74,4196.92,2045,2038,88.544,0,0,0,0,
81,4176.41,4180.51,4182.05,4180,4181.03,4181.54,4180,4188.21,4188.21,4191.79,4237.44,4947.18,4184.1,4186.67,2045,2039,88.552,0,0,0,0,
82,4181.54,4184.62,4187.18,4183.08,4184.1,4183.59,4181.54,4180.51,4185.64,4190.77,4239.49,4951.28,4178.97,4186.15,2044,2038,88.56,0,0,0,0,
83,4192.82,4188.72,4186.15,4182.56,4180,4178.46,4175.9,4182.05,4192.31,4192.31,4242.56,4947.69,4190.26,4194.36,2045,2038,88.568,0,0,0,0,
84,4169.74,4174.36,4185.13,4187.18,4183.08,4184.62,4187.69,4186.15,4188.21,4189.74,4237.95,4946.67,4175.38,4184.62,2044,2038,88.577,0,0,0,0,
85,4188.21,4187.18,4186.15,4186.15,4176.92,4179.49,4177.44,4185.13,4188.72,4190.26,4244.62,4952.31,4189.74,4195.9,2044,2038,88.584,0,0,0,0,
86,4181.03,4183.08,4181.54,4181.54,4179.49,4180,4181.03,4183.08,4189.74,4188.72,4241.03,4946.15,4183.59,4189.74,2045,2037,88.592,0,0,0,0,
87,4176.41,4177.44,4186.67,4188.21,4184.1,4184.1,4186.15,4180.51,4184.1,4185.64,4242.56,4950.26,4178.46,4186.67,2044,2038,88.6,0,0,0,0,
88,4190.77,4185.64,4183.08,4184.62,4180,4180,4174.87,4185.64,4190.77,4188.72,4245.13,4947.69,4193.33,4195.9,2044,2038,88.609,0,0,0,0,
